"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","control","NONE",27.71,7.23836831479311,3,4.67428150030403,50.745718499696,"C"
"4","control","WHEA",59.4375,7.2383683147931,3,36.401781500304,82.473218499696,"ABC"
"7","control","CLOV",57.1225,7.2383683147931,3,34.086781500304,80.158218499696,"ABC"
"5","control","WHCL",53.25,7.23836831479311,3,30.214281500304,76.285718499696,"ABC"
"8","control","SHMX",45.86,7.23836831479311,3,22.824281500304,68.895718499696,"ABC"
"10","drought","NONE",31.925,7.23836831479311,3,8.88928150030402,54.960718499696,"BC"
"3","drought","WHEA",52.1475,7.2383683147931,3,29.111781500304,75.183218499696,"ABC"
"1","drought","CLOV",78.68,7.2383683147931,3,55.644281500304,101.715718499696,"A"
"9","drought","WHCL",62.025,7.23836831479311,3,38.989281500304,85.060718499696,"AB"
"2","drought","SHMX",69.6175,7.2383683147931,3,46.581781500304,92.653218499696,"A"
